face,i,j,center_x_mm,center_y_mm,center_z_mm,orientation
bottom(z=0),4,15,450.0,1550.0,100.0,+z
bottom(z=0),4,16,450.0,1650.0,100.0,+z
bottom(z=0),4,17,450.0,1750.0,100.0,+z
bottom(z=0),4,18,450.0,1850.0,100.0,+z
bottom(z=0),4,19,450.0,1950.0,100.0,+z
bottom(z=0),4,20,450.0,2050.0,100.0,+z
bottom(z=0),4,21,450.0,2150.0,100.0,+z
bottom(z=0),4,22,450.0,2250.0,100.0,+z
bottom(z=0),4,23,450.0,2350.0,100.0,+z
bottom(z=0),4,24,450.0,2450.0,100.0,+z
bottom(z=0),4,25,450.0,2550.0,100.0,+z
bottom(z=0),4,26,450.0,2650.0,100.0,+z
bottom(z=0),4,27,450.0,2750.0,100.0,+z
bottom(z=0),4,28,450.0,2850.0,100.0,+z
bottom(z=0),4,29,450.0,2950.0,100.0,+z
bottom(z=0),4,30,450.0,3050.0,100.0,+z
bottom(z=0),4,31,450.0,3150.0,100.0,+z
bottom(z=0),4,32,450.0,3250.0,100.0,+z
bottom(z=0),4,33,450.0,3350.0,100.0,+z
bottom(z=0),4,34,450.0,3450.0,100.0,+z
bottom(z=0),4,35,450.0,3550.0,100.0,+z
bottom(z=0),4,36,450.0,3650.0,100.0,+z
bottom(z=0),4,37,450.0,3750.0,100.0,+z
bottom(z=0),4,38,450.0,3850.0,100.0,+z
bottom(z=0),4,39,450.0,3950.0,100.0,+z
bottom(z=0),4,40,450.0,4050.0,100.0,+z
bottom(z=0),4,41,450.0,4150.0,100.0,+z
bottom(z=0),4,42,450.0,4250.0,100.0,+z
bottom(z=0),4,43,450.0,4350.0,100.0,+z
bottom(z=0),4,44,450.0,4450.0,100.0,+z
bottom(z=0),4,45,450.0,4550.0,100.0,+z
bottom(z=0),4,46,450.0,4650.0,100.0,+z
bottom(z=0),4,47,450.0,4750.0,100.0,+z
bottom(z=0),4,48,450.0,4850.0,100.0,+z
bottom(z=0),4,49,450.0,4950.0,100.0,+z
bottom(z=0),4,50,450.0,5050.0,100.0,+z
bottom(z=0),4,51,450.0,5150.0,100.0,+z
bottom(z=0),4,52,450.0,5250.0,100.0,+z
bottom(z=0),4,53,450.0,5350.0,100.0,+z
bottom(z=0),4,54,450.0,5450.0,100.0,+z
bottom(z=0),4,55,450.0,5550.0,100.0,+z
bottom(z=0),4,56,450.0,5650.0,100.0,+z
bottom(z=0),4,57,450.0,5750.0,100.0,+z
bottom(z=0),4,58,450.0,5850.0,100.0,+z
bottom(z=0),4,59,450.0,5950.0,100.0,+z
bottom(z=0),4,60,450.0,6050.0,100.0,+z
bottom(z=0),4,61,450.0,6150.0,100.0,+z
bottom(z=0),4,62,450.0,6250.0,100.0,+z
bottom(z=0),4,63,450.0,6350.0,100.0,+z
bottom(z=0),4,64,450.0,6450.0,100.0,+z
bottom(z=0),4,65,450.0,6550.0,100.0,+z
bottom(z=0),4,66,450.0,6650.0,100.0,+z
bottom(z=0),4,67,450.0,6750.0,100.0,+z
bottom(z=0),4,68,450.0,6850.0,100.0,+z
bottom(z=0),4,69,450.0,6950.0,100.0,+z
bottom(z=0),4,70,450.0,7050.0,100.0,+z
bottom(z=0),4,71,450.0,7150.0,100.0,+z
bottom(z=0),4,72,450.0,7250.0,100.0,+z
bottom(z=0),4,73,450.0,7350.0,100.0,+z
bottom(z=0),4,74,450.0,7450.0,100.0,+z
bottom(z=0),5,0,550.0,50.0,100.0,+z
bottom(z=0),5,1,550.0,150.0,100.0,+z
bottom(z=0),5,2,550.0,250.0,100.0,+z
bottom(z=0),5,3,550.0,350.0,100.0,+z
bottom(z=0),5,4,550.0,450.0,100.0,+z
bottom(z=0),5,5,550.0,550.0,100.0,+z
bottom(z=0),5,6,550.0,650.0,100.0,+z
bottom(z=0),5,7,550.0,750.0,100.0,+z
bottom(z=0),5,8,550.0,850.0,100.0,+z
bottom(z=0),5,9,550.0,950.0,100.0,+z
bottom(z=0),5,10,550.0,1050.0,100.0,+z
bottom(z=0),5,11,550.0,1150.0,100.0,+z
bottom(z=0),5,12,550.0,1250.0,100.0,+z
bottom(z=0),5,13,550.0,1350.0,100.0,+z
bottom(z=0),5,14,550.0,1450.0,100.0,+z
bottom(z=0),5,15,550.0,1550.0,100.0,+z
bottom(z=0),5,16,550.0,1650.0,100.0,+z
bottom(z=0),5,17,550.0,1750.0,100.0,+z
bottom(z=0),5,18,550.0,1850.0,100.0,+z
bottom(z=0),5,19,550.0,1950.0,100.0,+z
bottom(z=0),5,20,550.0,2050.0,100.0,+z
bottom(z=0),5,21,550.0,2150.0,100.0,+z
bottom(z=0),5,22,550.0,2250.0,100.0,+z
bottom(z=0),5,23,550.0,2350.0,100.0,+z
bottom(z=0),5,24,550.0,2450.0,100.0,+z
bottom(z=0),5,25,550.0,2550.0,100.0,+z
bottom(z=0),5,26,550.0,2650.0,100.0,+z
bottom(z=0),5,27,550.0,2750.0,100.0,+z
bottom(z=0),5,28,550.0,2850.0,100.0,+z
bottom(z=0),5,29,550.0,2950.0,100.0,+z
bottom(z=0),5,30,550.0,3050.0,100.0,+z
bottom(z=0),5,31,550.0,3150.0,100.0,+z
bottom(z=0),5,32,550.0,3250.0,100.0,+z
bottom(z=0),5,33,550.0,3350.0,100.0,+z
bottom(z=0),5,34,550.0,3450.0,100.0,+z
bottom(z=0),5,35,550.0,3550.0,100.0,+z
bottom(z=0),5,36,550.0,3650.0,100.0,+z
bottom(z=0),5,37,550.0,3750.0,100.0,+z
bottom(z=0),5,38,550.0,3850.0,100.0,+z
bottom(z=0),5,39,550.0,3950.0,100.0,+z
bottom(z=0),5,40,550.0,4050.0,100.0,+z
bottom(z=0),5,41,550.0,4150.0,100.0,+z
bottom(z=0),5,42,550.0,4250.0,100.0,+z
bottom(z=0),5,43,550.0,4350.0,100.0,+z
bottom(z=0),5,44,550.0,4450.0,100.0,+z
bottom(z=0),5,45,550.0,4550.0,100.0,+z
bottom(z=0),5,46,550.0,4650.0,100.0,+z
bottom(z=0),5,47,550.0,4750.0,100.0,+z
bottom(z=0),5,48,550.0,4850.0,100.0,+z
bottom(z=0),5,49,550.0,4950.0,100.0,+z
bottom(z=0),5,50,550.0,5050.0,100.0,+z
bottom(z=0),5,51,550.0,5150.0,100.0,+z
bottom(z=0),5,52,550.0,5250.0,100.0,+z
bottom(z=0),5,53,550.0,5350.0,100.0,+z
bottom(z=0),5,54,550.0,5450.0,100.0,+z
bottom(z=0),5,55,550.0,5550.0,100.0,+z
bottom(z=0),5,56,550.0,5650.0,100.0,+z
bottom(z=0),5,57,550.0,5750.0,100.0,+z
bottom(z=0),5,58,550.0,5850.0,100.0,+z
bottom(z=0),5,59,550.0,5950.0,100.0,+z
bottom(z=0),5,60,550.0,6050.0,100.0,+z
bottom(z=0),5,61,550.0,6150.0,100.0,+z
bottom(z=0),5,62,550.0,6250.0,100.0,+z
bottom(z=0),5,63,550.0,6350.0,100.0,+z
bottom(z=0),5,64,550.0,6450.0,100.0,+z
bottom(z=0),5,65,550.0,6550.0,100.0,+z
bottom(z=0),5,66,550.0,6650.0,100.0,+z
bottom(z=0),5,67,550.0,6750.0,100.0,+z
bottom(z=0),5,68,550.0,6850.0,100.0,+z
bottom(z=0),5,69,550.0,6950.0,100.0,+z
bottom(z=0),5,70,550.0,7050.0,100.0,+z
bottom(z=0),5,71,550.0,7150.0,100.0,+z
bottom(z=0),5,72,550.0,7250.0,100.0,+z
bottom(z=0),5,73,550.0,7350.0,100.0,+z
bottom(z=0),5,74,550.0,7450.0,100.0,+z
bottom(z=0),6,0,650.0,50.0,100.0,+z
bottom(z=0),6,1,650.0,150.0,100.0,+z
bottom(z=0),6,2,650.0,250.0,100.0,+z
bottom(z=0),6,3,650.0,350.0,100.0,+z
bottom(z=0),6,4,650.0,450.0,100.0,+z
bottom(z=0),6,5,650.0,550.0,100.0,+z
bottom(z=0),6,6,650.0,650.0,100.0,+z
bottom(z=0),6,7,650.0,750.0,100.0,+z
bottom(z=0),6,8,650.0,850.0,100.0,+z
bottom(z=0),6,9,650.0,950.0,100.0,+z
bottom(z=0),6,10,650.0,1050.0,100.0,+z
bottom(z=0),6,11,650.0,1150.0,100.0,+z
bottom(z=0),6,12,650.0,1250.0,100.0,+z
bottom(z=0),6,13,650.0,1350.0,100.0,+z
bottom(z=0),6,14,650.0,1450.0,100.0,+z
bottom(z=0),6,15,650.0,1550.0,100.0,+z
bottom(z=0),6,16,650.0,1650.0,100.0,+z
bottom(z=0),6,17,650.0,1750.0,100.0,+z
bottom(z=0),6,18,650.0,1850.0,100.0,+z
bottom(z=0),6,19,650.0,1950.0,100.0,+z
bottom(z=0),6,20,650.0,2050.0,100.0,+z
bottom(z=0),6,21,650.0,2150.0,100.0,+z
bottom(z=0),6,22,650.0,2250.0,100.0,+z
bottom(z=0),6,23,650.0,2350.0,100.0,+z
bottom(z=0),6,24,650.0,2450.0,100.0,+z
bottom(z=0),6,25,650.0,2550.0,100.0,+z
bottom(z=0),6,26,650.0,2650.0,100.0,+z
bottom(z=0),6,27,650.0,2750.0,100.0,+z
bottom(z=0),6,28,650.0,2850.0,100.0,+z
bottom(z=0),6,29,650.0,2950.0,100.0,+z
bottom(z=0),6,30,650.0,3050.0,100.0,+z
bottom(z=0),6,31,650.0,3150.0,100.0,+z
